epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8044,0.86052,0.65036,1.11633,0.97588,0.97463,0.9903,0.9328,0.39466,0.36356,0.84452,0.000368828,0.000368828,0.000368828
2,45.3041,0.81395,0.61443,1.06485,0.9874,0.98292,0.995,0.91419,0.45375,0.35068,0.86079,0.000724526,0.000724526,0.000724526
3,62.5791,0.88373,0.6582,1.10425,0.96136,0.97823,0.9898,0.91273,0.47257,0.38111,0.8634,0.00106556,0.00106556,0.00106556
4,79.1366,0.86499,0.65062,1.10847,0.9819,0.98418,0.9929,0.90933,0.46921,0.37418,0.86345,0.00104501,0.00104501,0.00104501
5,95.5659,0.88149,0.64391,1.11668,0.98477,0.98867,0.995,0.93192,0.41165,0.3702,0.85616,0.00102301,0.00102301,0.00102301
6,111.805,0.8486,0.63568,1.07208,0.99198,0.98627,0.995,0.92244,0.43557,0.33342,0.85285,0.00100101,0.00100101,0.00100101
7,127.569,0.842,0.59251,1.08173,0.98992,0.97175,0.995,0.92105,0.4725,0.35169,0.8605,0.000979013,0.000979013,0.000979013
8,143.343,0.854,0.63502,1.09672,0.96256,1,0.995,0.92112,0.44623,0.34196,0.85855,0.000957015,0.000957015,0.000957015
9,159.505,0.85897,0.6488,1.1061,0.98244,0.98358,0.995,0.92495,0.43828,0.3337,0.86207,0.000935018,0.000935018,0.000935018
10,175.301,0.86647,0.59606,1.08997,0.98139,0.97253,0.9898,0.9176,0.46478,0.35575,0.87494,0.00091302,0.00091302,0.00091302
11,191.66,0.8355,0.61374,1.08788,0.98047,0.98305,0.995,0.92012,0.43278,0.3212,0.85278,0.000891022,0.000891022,0.000891022
