epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6018,0.86924,3.32279,0.99422,0.48471,0.49126,0.43366,0.36978,0.54387,1.98832,0.83689,0.000368463,0.000368463,0.000368463
2,64.2345,0.88339,1.84398,1.01445,0.66276,0.76728,0.7498,0.66583,0.55955,1.23942,0.86978,0.000724168,0.000724168,0.000724168
3,90.426,0.83606,1.28731,1.00901,0.80648,0.96842,0.84441,0.73657,0.56087,0.95849,0.8563,0.00106521,0.00106521,0.00106521
4,116.525,0.81731,1.09525,1.00127,0.77877,0.98947,0.84217,0.76353,0.54604,0.87159,0.86571,0.00104501,0.00104501,0.00104501
5,142.825,0.82417,1.04417,1.02188,0.79849,0.97008,0.83703,0.75406,0.5412,0.82199,0.8688,0.00102301,0.00102301,0.00102301
6,169.074,0.77594,0.96815,0.99459,0.77409,0.99387,0.84469,0.76426,0.50083,0.77776,0.85582,0.00100101,0.00100101,0.00100101
7,195.363,0.724,0.86823,0.96862,0.78067,1,0.87291,0.7965,0.48847,0.69974,0.85158,0.000979013,0.000979013,0.000979013
8,221.79,0.73904,0.853,0.98511,0.84804,0.95214,0.88093,0.78109,0.54468,0.70082,0.85993,0.000957015,0.000957015,0.000957015
9,248.313,0.7505,0.82423,0.99487,0.94466,0.95883,0.96756,0.88814,0.50046,0.62635,0.85412,0.000935018,0.000935018,0.000935018
10,274.734,0.736,0.806,0.99004,0.95621,0.99248,0.9919,0.91915,0.4669,0.58828,0.85535,0.00091302,0.00091302,0.00091302
11,301.518,0.73756,0.76416,1.02199,0.96888,0.9587,0.9859,0.90912,0.45471,0.56405,0.84814,0.000891022,0.000891022,0.000891022
12,328.371,0.66746,0.69806,0.96778,0.99171,0.98173,0.994,0.92116,0.43133,0.49626,0.84616,0.000869024,0.000869024,0.000869024
13,355.58,0.71359,0.70088,0.99253,0.98522,0.96923,0.99048,0.89332,0.50184,0.53352,0.85404,0.000847026,0.000847026,0.000847026
14,382.349,0.67213,0.64302,0.9699,0.97641,0.96923,0.9874,0.91618,0.44237,0.50217,0.85036,0.000825029,0.000825029,0.000825029
15,409.191,0.65411,0.61984,0.94583,0.98032,0.96912,0.99286,0.92498,0.43064,0.49717,0.83529,0.000803031,0.000803031,0.000803031
16,435.787,0.65804,0.63078,0.9547,0.98546,0.97144,0.9935,0.92434,0.41059,0.47988,0.83967,0.000781033,0.000781033,0.000781033
17,463.269,0.59533,0.57755,0.92992,0.9782,0.97121,0.994,0.93427,0.39254,0.44854,0.83316,0.000759035,0.000759035,0.000759035
18,489.947,0.62878,0.60769,0.95302,0.99372,1,0.995,0.93099,0.4377,0.4343,0.84096,0.000737037,0.000737037,0.000737037
19,516.531,0.63973,0.58241,0.95967,0.97438,0.97015,0.9908,0.92873,0.43803,0.44508,0.84421,0.00071504,0.00071504,0.00071504
20,543.185,0.62264,0.55638,0.96215,0.97467,0.96841,0.99076,0.94026,0.38699,0.4138,0.83974,0.000693042,0.000693042,0.000693042
21,569.781,0.60271,0.54637,0.95179,0.97774,0.97229,0.9945,0.92922,0.42227,0.43297,0.84276,0.000671044,0.000671044,0.000671044
22,596.332,0.58029,0.52323,0.93563,0.97677,0.97364,0.9929,0.94018,0.38439,0.41459,0.83159,0.000649046,0.000649046,0.000649046
23,622.268,0.62779,0.54938,0.95611,0.95597,0.99768,0.9929,0.93097,0.43417,0.42769,0.8493,0.000627048,0.000627048,0.000627048
24,650.377,0.62263,0.525,0.92777,0.96151,0.99804,0.995,0.92769,0.45124,0.41039,0.84437,0.000605051,0.000605051,0.000605051
25,677.323,0.61645,0.53187,0.94545,0.95779,0.9983,0.9945,0.93786,0.38941,0.40624,0.83549,0.000583053,0.000583053,0.000583053
26,702.997,0.63503,0.50968,0.94736,0.97735,0.97235,0.9908,0.93837,0.40027,0.41154,0.83746,0.000561055,0.000561055,0.000561055
27,727.615,0.62504,0.53368,0.95299,0.96129,1,0.995,0.9479,0.36958,0.36662,0.83425,0.000539057,0.000539057,0.000539057
28,753.042,0.58993,0.50891,0.94324,0.9602,1,0.995,0.95575,0.37129,0.36551,0.83123,0.000517059,0.000517059,0.000517059
29,778.1,0.5721,0.50684,0.93323,0.97848,0.97152,0.9914,0.94921,0.37858,0.38162,0.83304,0.000495062,0.000495062,0.000495062
30,803.153,0.5762,0.50021,0.93055,0.98278,0.96843,0.9924,0.95228,0.36699,0.36422,0.82959,0.000473064,0.000473064,0.000473064
31,827.883,0.58148,0.48758,0.9316,0.97906,0.97091,0.9898,0.95694,0.37003,0.37388,0.83037,0.000451066,0.000451066,0.000451066
